[2026-06-27T10:05:10.287Z] ========================================
[2026-06-27T10:05:10.291Z]   智能上传脚本 v2（单张·随机间隔）
[2026-06-27T10:05:10.292Z] ========================================
[2026-06-27T10:05:10.299Z] 总图片: 3891 | 已上传: 1002 | 待上传: 2889
[2026-06-27T10:12:01.309Z] [39/2889] 1.3% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_105.jpg | S:39 F:0 | 406s
[2026-06-27T10:12:09.548Z] [40/2889] 1.3% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_107.jpg | S:40 F:0 | 415s
[2026-06-27T10:12:19.762Z] [41/2889] 1.4% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_108.jpg | S:41 F:0 | 425s
[2026-06-27T10:12:30.847Z] [42/2889] 1.4% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_114.jpg | S:42 F:0 | 436s
[2026-06-27T10:12:41.558Z] [43/2889] 1.5% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_115.jpg | S:43 F:0 | 447s
[2026-06-27T10:12:48.451Z] [44/2889] 1.5% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_117.jpg | S:44 F:0 | 455s
[2026-06-27T10:12:54.884Z] [45/2889] 1.5% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_119.jpg | S:45 F:0 | 462s
[2026-06-27T10:13:07.486Z] [46/2889] 1.6% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_121.jpg | S:46 F:0 | 472s
[2026-06-27T10:13:18.950Z] [47/2889] 1.6% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_123.jpg | S:47 F:0 | 484s
[2026-06-27T10:13:26.165Z] [48/2889] 1.6% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_127.jpg | S:48 F:0 | 492s
[2026-06-27T10:13:39.022Z] [49/2889] 1.7% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_37.jpg | S:49 F:0 | 504s
[2026-06-27T10:13:49.680Z] [50/2889] 1.7% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_42.jpg | S:50 F:0 | 514s
[2026-06-27T10:13:59.591Z] [51/2889] 1.7% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_43.jpg | S:51 F:0 | 524s
[2026-06-27T10:14:10.768Z] [52/2889] 1.8% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_44.jpg | S:52 F:0 | 535s
[2026-06-27T10:14:23.563Z] [53/2889] 1.8% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_45.jpg | S:53 F:0 | 548s
[2026-06-27T10:14:35.300Z] [54/2889] 1.8% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_46.jpg | S:54 F:0 | 559s
